iter	Passed	Remaining
0	5	1058
1	9	970
2	14	959
3	19	950
4	23	927
5	28	911
6	32	889
7	37	906
8	41	887
9	48	914
10	52	908
11	57	906
12	62	900
13	69	923
14	74	922
15	79	912
16	83	900
17	87	889
18	92	877
19	96	866
20	100	853
21	104	842
22	108	833
23	112	824
24	116	815
25	120	806
26	124	799
27	129	796
28	133	789
29	138	783
30	142	776
31	146	769
32	150	760
33	154	751
34	158	745
35	162	739
36	166	732
37	170	725
38	173	718
39	178	712
40	181	704
41	185	699
42	189	693
43	195	691
44	199	687
45	206	690
46	213	696
47	220	699
48	226	697
49	229	689
50	233	683
51	237	676
52	241	670
53	246	665
54	250	659
55	254	654
56	259	650
57	264	646
58	267	640
59	272	634
60	275	628
61	279	622
62	283	616
63	287	611
64	291	604
65	295	599
66	298	593
67	302	587
68	306	581
69	310	576
70	314	571
71	317	565
72	321	560
73	325	554
74	330	550
75	333	544
76	337	539
77	341	534
78	345	529
79	349	523
80	353	518
81	357	513
82	360	508
83	364	503
84	368	498
85	372	494
86	376	488
87	380	484
88	384	479
89	388	475
90	393	470
91	397	466
92	402	463
93	406	458
94	411	454
95	418	453
96	423	449
97	430	447
98	436	445
99	441	441
100	446	438
101	452	434
102	456	429
103	461	426
104	466	421
105	470	417
106	475	413
107	479	408
108	483	403
109	487	399
110	492	394
111	496	390
112	500	385
113	505	381
114	509	376
115	513	371
116	516	366
117	520	361
118	524	357
119	528	352
120	532	347
121	536	343
122	540	338
123	544	333
124	547	328
125	551	323
126	555	319
127	558	314
128	562	309
129	565	304
130	569	299
131	573	295
132	577	291
133	582	286
134	586	282
135	590	277
136	594	273
137	598	269
138	603	264
139	608	260
140	611	255
141	615	251
142	619	246
143	624	242
144	627	238
145	631	233
146	635	229
147	638	224
148	642	219
149	646	215
150	649	210
151	653	206
152	656	201
153	660	197
154	664	192
155	667	188
156	671	183
157	674	179
158	678	174
159	681	170
160	685	166
161	689	161
162	692	157
163	696	152
164	700	148
165	704	144
166	707	139
167	711	135
168	715	131
169	718	126
170	722	122
171	726	118
172	729	113
173	733	109
174	737	105
175	741	101
176	744	96
177	748	92
178	752	88
179	756	84
180	760	79
181	764	75
182	769	71
183	775	67
184	781	63
185	785	59
186	791	55
187	795	50
188	799	46
189	804	42
190	808	38
191	815	33
192	820	29
193	825	25
194	829	21
195	834	17
196	840	12
197	844	8
198	850	4
199	855	0
